model,emb,graph,actl,hidden_dim,lr,epochs,weight_decay,shuffle_train_val,train_size,val_size,test_size,knn_total,knn_train,select_best,bacc_mean,bacc_std
KarateGraph,clipsum,knn,-,4096,1e-05,40,0.001,False,2600,500,-1,16,10,val,0.7705,0.0407
KarateGraph,clipcat,knn,-,4096,1e-05,40,0.001,False,2600,500,-1,16,10,val,0.7677,0.053
KarateGraph5Att,clipcat,knn,-,4096,1e-05,40,0.001,False,2600,500,-1,16,10,val,0.7529,0.041
KarateGraph5Att,clipsum,knn,-,4096,1e-05,40,0.001,False,2600,500,-1,16,10,val,0.8056,0.0527
KarateGraph5Att,clipsum,knn,-,4096,1e-05,40,0.001,True,2600,500,-1,16,10,val,0.7874,0.0682
KarateGraph5Att,clipsum,knn,random,4096,1e-05,40,0.001,False,18,12,-1,16,10,val,0.7333,0.037
KarateGraph5Att,clipsum,knn,degree,4096,1e-05,40,0.001,False,18,12,-1,16,10,val,0.6867,0.1095
KarateGraph5Att,clipsum,knn,random,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7366,0.0381
KarateGraph5Att,clipsum,knn,degree,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.6867,0.1095
KarateGraph5Att,clipsum,knn,degree,4096,1e-05,100,0.001,True,18,12,-1,16,10,val,0.7302,0.0271
KarateGraph5Att,clipsum,knn,degree,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,0.6889,0.1095
KarateGraph5Att,clipsum,knn,kmeans,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,0.7508,0.0206
KarateGraph5Att,clipsum,knn,kmeans,4096,1e-05,100,0.001,True,18,12,-1,16,10,val,0.7492,0.0193
KarateGraph5Att,clipsum,knn,random,4096,1e-05,100,0.001,True,18,12,-1,16,10,val,0.7371,0.0426
KarateGraph,clipcat,knn,-,4096,1e-05,100,0.001,False,2600,500,-1,16,10,val,0.7715,0.0506
KarateGraph,clipsum,knn,-,4096,1e-05,100,0.001,False,2600,500,-1,16,10,val,0.7724,0.0396
KarateGraph5Att,clipsum,knn,-,4096,1e-05,100,0.001,False,2600,500,-1,16,10,val,0.8027,0.055
KarateGraph5Att,clipcat,knn,-,4096,1e-05,100,0.001,False,2600,500,-1,16,10,val,0.7542,0.0409
KarateGraph5Att,clipsum,knn,leiden-bw,4096,1e-05,100,0.001,False,18,12,-1,16,16,val,0.7665,0.0046
KarateGraph5Att,clipsum,knn,leiden-bw,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7663,0.0047
KarateGraph5Att,clipsum,knn,leiden-close,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7274,0.0169
KarateGraph5Att,clipsum,knn,leiden-deg,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7288,0.017
KarateGraph5Att,clipsum,knn,leiden-eigen,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7252,0.0199
KarateGraph5Att,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7716,0.0062
KarateGraph5Att,clipsum,knn,leiden-pgrk,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7391,0.0173
KarateGraph5Att,clipsum,knn,leiden-rdn,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7484,0.0475
KarateGraph5Att,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,True,18,12,-1,16,10,val,0.7729,0.0095
KarateGraph4GCN,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.769,0.0042
KarateGraph4Att,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7562,0.0252
KarateGraph5GCN,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.753,0.0491
KarateGraph6Att,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7651,0.0031
KarateGraph,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7804,0.0131
KarateGraph,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,True,18,12,-1,16,10,val,0.7782,0.0113
KarateGraph,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7804,0.0131
KarateAtt,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7736,0.0152
KarateGraph3Att,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7444,0.0417
KarateGraph3Att,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.749,0.0428
KarateGraph,clipsum,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.8031,0.0393
KarateGraph,clipcat,knn,leiden-mci,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.8048,0.0462
KarateGraph,clipcat,knn,random,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.747,0.0093
KarateGraph,clipsum,knn,random,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7552,0.0138
KarateGraph5Att,clipsum,knn,random,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7486,0.0105
KarateGraph5Att,clipsum,knn,random,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7485,0.0103
KarateGraph5Att,clipsum,knn,random,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7485,0.0103
KarateGraph5Att,clipsum,knn,random,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7488,0.0099
KarateGraph5Att,clipsum,knn,random,4096,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7484,0.0103
